BracketEntryId,SemifinalWinner_East_West,SemifinalWinner_South_Midwest,NationalChampion
3237689,UConn,Tennessee,UConn
2352968,Iowa St.,Kentucky,Iowa St.
2319819,UConn,Purdue,UConn
1263718,UConn,Kentucky,UConn
3124194,North Carolina,Purdue,North Carolina
3124339,UConn,Houston,UConn
3075040,UConn,McNeese,McNeese
2022100,UAB,Gonzaga,UAB
2579525,UConn,Kansas,Kansas
607094,UConn,Houston,UConn
1443070,North Carolina,Kansas,North Carolina
3016417,UConn,Marquette,UConn
1519348,North Carolina,Houston,Houston
1985870,Iowa St.,Purdue,Purdue
814195,UConn,Kansas,UConn
1536564,UConn,Houston,UConn
1952459,UConn,Creighton,UConn
815102,UConn,Kentucky,UConn
2055809,North Carolina,Houston,Houston
148042,UConn,Houston,UConn
890755,Iowa St.,Tennessee,Tennessee
254519,UConn,Duke,UConn
1358566,UConn,Houston,UConn
2664214,UConn,Houston,UConn
1975012,UConn,Houston,UConn
873580,UConn,Tennessee,UConn
1750544,UConn,Houston,UConn
2286351,UConn,Tennessee,UConn
3049736,UConn,Purdue,UConn
3274658,UConn,Houston,UConn
2845852,UConn,Houston,UConn
3230208,UConn,Houston,UConn
3313840,North Carolina,Kansas,North Carolina
454353,UConn,McNeese,McNeese
2932776,North Carolina,Kentucky,North Carolina
1844212,UConn,Houston,UConn
574525,UConn,Marquette,UConn
1523922,UConn,Purdue,UConn
3458508,North Carolina,Houston,North Carolina
544473,Illinois,Houston,Houston
1932835,UConn,Kentucky,UConn
1337672,UConn,Houston,UConn
3016743,Iowa St.,Houston,Iowa St.
1244354,UConn,Kentucky,UConn
3453025,UConn,Purdue,Purdue
3552062,Auburn,Houston,Auburn
1642336,Alabama,Kentucky,Kentucky
3746682,UConn,Houston,UConn
2750018,UConn,Houston,UConn
2681743,UConn,Houston,UConn
1188057,UConn,Gonzaga,UConn
1551693,UConn,Kentucky,UConn
2666799,UConn,Houston,UConn
1365836,UConn,Houston,UConn
3481573,UConn,Houston,UConn
1205722,North Carolina,Tennessee,North Carolina
1117488,UConn,Kentucky,UConn
714833,North Carolina,Kentucky,North Carolina
223499,North Carolina,Houston,North Carolina
2084313,UConn,Tennessee,UConn
3047430,Iowa St.,Houston,Houston
23850,UConn,Houston,UConn
1880362,Iowa St.,Kentucky,Iowa St.
718282,Wagner,Longwood,Longwood
2842360,North Carolina,Houston,North Carolina
400511,UConn,Houston,UConn
2600809,Iowa St.,Purdue,Purdue
2696643,UConn,Tennessee,UConn
2952205,Iowa St.,Kentucky,Iowa St.
3390077,UConn,Kentucky,UConn
170629,North Carolina,Tennessee,North Carolina
3395695,UConn,Tennessee,UConn
1281632,UConn,Houston,UConn
3125630,UConn,Tennessee,UConn
789359,UConn,Purdue,UConn
3163493,UConn,Purdue,UConn
586385,UConn,Houston,UConn
366381,UConn,Houston,UConn
3082955,UConn,Kentucky,UConn
2683918,Arizona,Houston,Houston
1290351,Iowa St.,Houston,Houston
3453193,UConn,Houston,UConn
416238,Auburn,Houston,Auburn
2614597,UConn,Houston,UConn
2833212,Arizona,Kentucky,Arizona
45486,Iowa St.,Houston,Iowa St.
3731233,UConn,Houston,UConn
2356120,North Carolina,Houston,Houston
2496244,UConn,Houston,UConn
1912508,North Carolina,Kentucky,North Carolina
2950915,UConn,Houston,UConn
1082431,Iowa St.,Houston,Houston
3046142,UConn,Marquette,UConn
2427530,UConn,Houston,UConn
2577176,Arizona,Duke,Arizona
540803,Arizona,Purdue,Purdue
3445902,UConn,Houston,Houston
3097104,Iowa St.,Marquette,Iowa St.
2635374,North Carolina,Houston,Houston
1184477,North Carolina,Marquette,North Carolina
1508268,Iowa St.,Houston,Houston
2656249,UConn,Houston,UConn
475585,Iowa St.,Houston,Iowa St.
3726130,UConn,Houston,Houston
813647,UConn,Houston,UConn
302670,Illinois,Houston,Houston
1308282,UConn,Purdue,UConn
3015397,Arizona,Houston,Houston
1206941,UConn,Houston,UConn
1786958,UConn,Purdue,UConn
2927616,UConn,Houston,UConn
1502602,Iowa St.,Houston,Houston
3577139,UConn,Purdue,UConn
194626,UConn,Purdue,UConn
2173323,UConn,Houston,UConn
2466062,UConn,Houston,UConn
1000753,Arizona,Houston,Arizona
3317288,UConn,Houston,UConn
892,UConn,Houston,UConn
898691,UConn,Purdue,UConn
432365,UConn,Tennessee,UConn
3363818,Iowa St.,Creighton,Creighton
946811,UConn,Creighton,UConn
3241991,North Carolina,Purdue,North Carolina
1223173,UConn,Houston,UConn
1546513,North Carolina,Tennessee,North Carolina
3418765,UConn,Houston,UConn
1783351,Iowa St.,Purdue,Purdue
2024283,UConn,Texas Tech,UConn
2581334,UConn,Houston,UConn
215247,UConn,Purdue,Purdue
657895,UConn,Houston,UConn
538575,Auburn,Kentucky,Kentucky
1064411,Arizona,Houston,Houston
1988163,UConn,Tennessee,UConn
3387273,UConn,Houston,UConn
240500,UConn,Houston,UConn
3388131,Iowa St.,Houston,Houston
1015779,UConn,Kentucky,UConn
3242528,UConn,Marquette,UConn
2499652,UConn,Houston,UConn
2445891,UConn,Purdue,UConn
2401376,UConn,Purdue,UConn
34747,Auburn,Houston,Houston
3449274,UConn,Houston,UConn
2893200,Auburn,Houston,Houston
1002307,North Carolina,Kentucky,Kentucky
2123311,UConn,Tennessee,UConn
628896,UConn,Houston,UConn
289410,UConn,Purdue,UConn
1090423,UConn,Purdue,UConn
346763,Iowa St.,Purdue,Purdue
3567815,UConn,Tennessee,UConn
3083680,UConn,Houston,UConn
3017272,Iowa St.,Purdue,Purdue
846688,UConn,Kentucky,UConn
1891753,North Carolina,Purdue,Purdue
1482951,UConn,Houston,UConn
644935,UConn,Marquette,UConn
2772386,UConn,Houston,UConn
722461,UConn,Purdue,UConn
3133563,UConn,Houston,UConn
2875867,Illinois,Kentucky,Kentucky
557311,North Carolina,Purdue,Purdue
510366,UConn,Purdue,UConn
2775542,North Carolina,Purdue,Purdue
2338849,UConn,Houston,UConn
2424975,UConn,Purdue,UConn
539093,UConn,Tennessee,UConn
3732117,UConn,Houston,UConn
3489164,UConn,Duke,UConn
551540,UConn,Houston,UConn
2972290,Arizona,Purdue,Purdue
2725955,UConn,Marquette,UConn
1520399,UConn,Houston,UConn
2554436,UConn,Gonzaga,UConn
1358332,UConn,Duke,UConn
3285283,UConn,Kentucky,UConn
1998172,UConn,Kentucky,UConn
2932044,UConn,Kentucky,UConn
861858,UConn,Marquette,UConn
212223,UConn,Kentucky,UConn
3004706,UConn,Marquette,UConn
2385813,UConn,Houston,UConn
2159274,UConn,Houston,UConn
540130,UConn,Tennessee,UConn
3418513,North Carolina,Houston,North Carolina
294821,North Carolina,Purdue,Purdue
3112778,UConn,Houston,Houston
1156977,North Carolina,Kentucky,North Carolina
3382687,Iowa St.,Houston,Houston
3371576,UConn,Kentucky,UConn
1824845,UConn,Houston,UConn
2917786,Iowa St.,Marquette,Iowa St.
2245589,UConn,Houston,UConn
1275990,UConn,Marquette,UConn
1437801,Auburn,Kentucky,Kentucky
3269844,UConn,Houston,UConn
1261932,BYU,Houston,Houston
1849519,UConn,Houston,UConn
2515657,North Carolina,Houston,Houston
1553150,UConn,Tennessee,UConn
289748,North Carolina,Purdue,Purdue
2696160,UConn,Tennessee,UConn
691306,North Carolina,Houston,Houston
1058306,Illinois,Purdue,Purdue
1115832,Iowa St.,Houston,Houston
180118,UConn,Houston,UConn
1719292,Iowa St.,Houston,Houston
1001803,UConn,Marquette,UConn
571505,UConn,Houston,UConn
1502446,UConn,Houston,UConn
2810927,North Carolina,Houston,Houston
1404952,UConn,Houston,UConn
3285212,UConn,Tennessee,UConn
2254480,Auburn,Houston,Houston
2445520,Iowa St.,Kentucky,Kentucky
2252980,UConn,Houston,UConn
2052346,UConn,Purdue,UConn
796177,Iowa St.,Houston,Houston
1931500,Arizona,Houston,Houston
3685033,UConn,Houston,UConn
3360740,UConn,Houston,UConn
2507987,UConn,Wisconsin,UConn
1987193,UConn,Houston,UConn
2957217,UConn,Houston,UConn
3568718,North Carolina,Purdue,Purdue
2619911,UConn,Houston,UConn
28178,UConn,Kentucky,UConn
1517174,Illinois,Gonzaga,Illinois
3390328,North Carolina,Purdue,Purdue
372948,North Carolina,Tennessee,North Carolina
1873222,UConn,Houston,UConn
587464,Auburn,Purdue,Purdue
2972151,Auburn,Kansas,Kansas
2067743,UConn,Purdue,UConn
3365649,Arizona,Houston,Houston
692469,Iowa St.,Houston,Houston
1530847,UConn,Purdue,UConn
2085329,UConn,Florida,UConn
1501944,North Carolina,Tennessee,North Carolina
605742,UConn,Houston,UConn
3067502,North Carolina,Houston,North Carolina
1544111,UAB,McNeese,UAB
403385,UConn,Kentucky,UConn
2136988,North Carolina,Purdue,Purdue
3305122,UConn,Houston,UConn
680385,UConn,Kentucky,UConn
494007,Arizona,Purdue,Purdue
3291627,UConn,Purdue,UConn
3029881,UConn,Purdue,UConn
3470301,UConn,Houston,UConn
2688163,UConn,Tennessee,UConn
1504024,UConn,Houston,UConn
2109319,North Carolina,Houston,Houston
3275935,Arizona,Kentucky,Arizona
3121711,Alabama,Houston,Houston
2560047,Arizona,Purdue,Purdue
800322,UConn,Houston,UConn
273150,UConn,Houston,UConn
2137091,UConn,Creighton,UConn
774596,UConn,Marquette,UConn
3035862,UConn,Purdue,UConn
227056,UConn,Houston,UConn
2013751,Iowa St.,Houston,Houston
885917,Arizona,Houston,Houston
2203314,Illinois,Houston,Houston
801395,Iowa St.,Houston,Houston
961145,UConn,Kentucky,Kentucky
3382259,UConn,Houston,UConn
2965344,UConn,Kentucky,UConn
651073,UConn,Houston,UConn
3025432,UConn,Purdue,UConn
742946,North Carolina,Houston,North Carolina
2463690,UConn,Purdue,UConn
2667661,UConn,Duke,UConn
2414778,UConn,Kentucky,UConn
1846342,North Carolina,Houston,Houston
1441438,UConn,Houston,UConn
2690197,UConn,Purdue,UConn
3394875,UConn,Purdue,UConn
950225,UConn,Houston,UConn
1061915,UConn,Purdue,UConn
2105567,UConn,Tennessee,UConn
3087463,UConn,McNeese,McNeese
110031,UConn,Houston,UConn
2406085,UConn,Houston,UConn
960330,UConn,Purdue,Purdue
17123,Iowa St.,Purdue,Purdue
2573933,UConn,Houston,UConn
2881617,UConn,Purdue,Purdue
3456085,Arizona,Marquette,Arizona
2631269,UConn,Houston,UConn
1469873,UConn,Houston,UConn
1702280,North Carolina,Kentucky,North Carolina
893860,UConn,Kentucky,UConn
3247807,North Carolina,Purdue,Purdue
1227433,Alabama,Tennessee,Tennessee
3648318,Iowa St.,Houston,Houston
3715396,UConn,Gonzaga,UConn
2708905,UConn,Houston,UConn
3717587,UConn,Marquette,UConn
311271,UConn,Houston,UConn
1198095,North Carolina,Houston,North Carolina
2992579,Iowa St.,Wisconsin,Wisconsin
3487583,North Carolina,Houston,North Carolina
2110020,UConn,Purdue,UConn
1808195,UConn,Houston,UConn
2359257,Iowa St.,Kentucky,Iowa St.
1528475,UConn,Purdue,UConn
899784,North Carolina,Houston,Houston
783675,Auburn,Nebraska,Auburn
3569833,North Carolina,Kansas,North Carolina
2404558,UConn,Houston,UConn
3494059,UConn,Houston,UConn
2106927,UConn,Houston,UConn
2807202,UConn,Creighton,UConn
309463,UConn,Kentucky,UConn
2968753,UConn,Houston,UConn
3017872,UConn,Purdue,UConn
538379,UConn,Houston,UConn
1313621,UConn,Kentucky,UConn
1816646,UConn,Kentucky,UConn
2947130,Iowa St.,Houston,Houston
1287631,UConn,Kentucky,UConn
1402113,North Carolina,Houston,North Carolina
2656817,UConn,Purdue,UConn
1055687,North Carolina,Tennessee,North Carolina
1701045,Morehead St.,Saint Peter's,Saint Peter's
118195,UConn,Purdue,UConn
531174,UConn,Purdue,UConn
3050586,UConn,Houston,UConn
3521035,UConn,Purdue,UConn
699553,Iowa St.,Houston,Houston
378491,UConn,Tennessee,UConn
747754,UConn,Houston,UConn
447004,Arizona,Purdue,Purdue
3478526,Iowa St.,Houston,Iowa St.
3240494,UConn,Houston,UConn
1999913,Arizona,McNeese,Arizona
527939,UConn,Purdue,Purdue
2853099,UConn,Houston,UConn
1882570,UConn,Houston,UConn
2571009,UConn,Houston,UConn
802284,North Carolina,Houston,Houston
1612075,UConn,Houston,UConn
2649352,UConn,Kentucky,UConn
2192841,UConn,Houston,UConn
675948,UConn,Marquette,UConn
1588470,Auburn,Marquette,Auburn
182885,UConn,Purdue,UConn
2100170,UConn,Houston,UConn
3368256,UConn,Houston,UConn
69360,UConn,Kentucky,UConn
3755990,UConn,Purdue,UConn
1949592,UConn,Houston,UConn
1935617,UConn,Houston,UConn
1341992,North Carolina,Houston,Houston
1269105,Iowa St.,Tennessee,Iowa St.
889646,Baylor,Marquette,Marquette
2080320,UConn,Houston,UConn
3419966,UConn,Kentucky,UConn
3513497,UConn,Tennessee,UConn
1808350,UConn,Kentucky,UConn
1932602,North Carolina,Kentucky,Kentucky
2166487,UConn,Purdue,UConn
639115,UConn,Houston,UConn
3488397,UConn,Purdue,UConn
1977761,UConn,Purdue,UConn
1582587,Arizona,Houston,Houston
1864386,North Carolina,Purdue,North Carolina
1318232,North Carolina,Duke,North Carolina
3755395,UConn,Tennessee,UConn
2335236,UConn,Houston,UConn
3640995,North Carolina,Houston,North Carolina
3805942,North Carolina,Purdue,North Carolina
548155,UConn,Houston,Houston
932866,Arizona,Houston,Houston
1255766,UConn,Purdue,UConn
3488396,Iowa St.,Purdue,Purdue
1727314,Arizona,Purdue,Purdue
770041,UConn,Houston,UConn
1981614,North Carolina,Purdue,Purdue
3160155,Arizona,Houston,Houston
983476,Iowa St.,Houston,Houston
2887974,UConn,Purdue,UConn
3251084,UConn,Houston,UConn
505388,UConn,Houston,UConn
3280163,UConn,Purdue,Purdue
400587,UConn,Houston,UConn
3669952,UConn,Houston,UConn
268647,UConn,Houston,UConn
2269218,UConn,Houston,UConn
3287588,UConn,Houston,UConn
659126,North Carolina,Duke,North Carolina
3081998,UConn,Houston,UConn
3089642,Arizona,Houston,Houston
3193079,UConn,Purdue,Purdue
623092,Arizona,Houston,Houston
3248785,Arizona,Kentucky,Arizona
2684518,Iowa St.,Houston,Houston
3439278,UConn,Houston,UConn
2148373,Iowa St.,Purdue,Purdue
1861859,UConn,Houston,UConn
3090888,Illinois,Marquette,Illinois
1680608,UConn,Houston,UConn
1168554,Arizona,Purdue,Purdue
1256079,Arizona,Creighton,Arizona
1520302,UConn,Gonzaga,UConn
834772,UConn,Purdue,UConn
201463,UConn,Tennessee,UConn
2939719,UConn,Kentucky,UConn
2759052,UAB,Kentucky,Kentucky
3651611,UConn,Kentucky,UConn
3121591,Illinois,Purdue,Purdue
1481827,UConn,Houston,UConn
2455120,Iowa St.,South Carolina,Iowa St.
3133113,Iowa St.,Houston,Houston
3143772,Dayton,Purdue,Purdue
2202007,Auburn,Duke,Auburn
2994492,UConn,Houston,UConn
2310490,UConn,Houston,UConn
3393396,North Carolina,Tennessee,North Carolina
1575317,UConn,Marquette,UConn
2627919,Auburn,Tennessee,Tennessee
2571719,Iowa St.,Houston,Houston
2136466,UConn,Marquette,UConn
1754216,UConn,Houston,UConn
2737304,UConn,Kentucky,UConn
2810262,UConn,Houston,UConn
1589859,UConn,Houston,UConn
2379668,Arizona,Houston,Arizona
3111295,UConn,Tennessee,UConn
2504327,UConn,Purdue,UConn
3414499,UConn,Purdue,UConn
2245851,Iowa St.,Houston,Houston
3459058,Auburn,Houston,Auburn
2538454,Arizona,Purdue,Purdue
650481,UConn,Houston,UConn
1915549,Clemson,Kentucky,Kentucky
2666985,UConn,Houston,UConn
2534937,Arizona,Purdue,Purdue
2275043,UConn,Purdue,UConn
3660625,UConn,Houston,UConn
2380484,UConn,Houston,UConn
679553,UConn,Houston,Houston
1021507,UConn,Houston,UConn
1743976,UConn,Houston,UConn
2202739,UConn,Purdue,UConn
3605070,UConn,Houston,UConn
397457,UConn,Houston,UConn
3256893,UConn,Purdue,UConn
2464718,North Carolina,Kansas,North Carolina
180267,UConn,Houston,UConn
3614895,UConn,McNeese,McNeese
1991840,Iowa St.,Purdue,Purdue
3162809,UConn,Kentucky,UConn
2322105,UConn,Houston,UConn
333019,UConn,Tennessee,UConn
3430277,UConn,Houston,UConn
2494901,UConn,Kentucky,UConn
1071260,Auburn,Nebraska,Nebraska
1562318,Iowa St.,Houston,Houston
289889,North Carolina,Houston,Houston
2041744,Iowa St.,Kentucky,Iowa St.
2306501,UConn,Purdue,UConn
2125013,UConn,Purdue,UConn
569057,UConn,Houston,UConn
2300639,UConn,Houston,UConn
3041254,UConn,Purdue,UConn
2537001,UConn,Kentucky,UConn
1010969,UConn,Houston,UConn
3533130,UConn,Houston,UConn
1685641,UConn,Kentucky,Kentucky
3547842,UConn,Purdue,UConn
2968904,UConn,Purdue,UConn
1559465,UConn,Houston,UConn
2768477,UConn,Houston,UConn
585583,UConn,Kentucky,Kentucky
2901008,UConn,Houston,UConn
1451623,Iowa St.,Purdue,Purdue
3135595,Iowa St.,Houston,Iowa St.
995095,UConn,Purdue,UConn
3415243,UConn,Houston,UConn
1175361,North Carolina,Purdue,Purdue
1864953,North Carolina,Houston,Houston
2399348,Iowa St.,Houston,Houston
3001167,UConn,Houston,UConn
3465937,North Carolina,Houston,Houston
910686,UConn,Houston,Houston
1650475,UConn,Purdue,UConn
3309083,Auburn,Kentucky,Auburn
2911134,Auburn,Purdue,Purdue
3161697,UConn,Purdue,UConn
826136,North Carolina,NC State,North Carolina
762667,UConn,Houston,UConn
1321665,Arizona,Marquette,Arizona
255582,Auburn,Houston,Houston
798355,UConn,Houston,UConn
3012201,Auburn,Purdue,Purdue
143147,UConn,Houston,UConn
3126000,UConn,Houston,UConn
1103155,UConn,Houston,UConn
1745717,North Carolina,Houston,Houston
681824,UConn,Purdue,UConn
2513291,UConn,Purdue,UConn
2946632,UConn,Purdue,UConn
1524506,UConn,Houston,UConn
1836593,UConn,Tennessee,UConn
422135,UConn,Tennessee,UConn
2897807,Iowa St.,Houston,Houston
2797368,UConn,Houston,UConn
3256961,UConn,Houston,UConn
1668146,North Carolina,Tennessee,North Carolina
3438690,Drake,McNeese,McNeese
2276835,North Carolina,Purdue,North Carolina
2905154,UConn,Kentucky,Kentucky
2767557,UConn,Duke,UConn
1013690,UConn,Houston,UConn
1315449,Auburn,Kentucky,Kentucky
1477049,Iowa St.,Purdue,Purdue
964160,UConn,Tennessee,UConn
2330562,UConn,Duke,UConn
3642463,Iowa St.,Duke,Iowa St.
2247288,UConn,Houston,UConn
3538321,UConn,Houston,UConn
1667651,UConn,Houston,UConn
1543843,UConn,Purdue,UConn
3693017,UConn,Houston,UConn
1660379,Baylor,Purdue,Purdue
3673630,North Carolina,Houston,Houston
295578,UConn,Marquette,UConn
3691117,UConn,Kentucky,UConn
2100603,UConn,Purdue,UConn
1363950,Arizona,Purdue,Purdue
2165965,UConn,Houston,UConn
3604393,UConn,Kentucky,UConn
3458583,UConn,Purdue,UConn
1099479,UConn,Kentucky,UConn
925193,North Carolina,Houston,North Carolina
3475269,Iowa St.,McNeese,McNeese
3087104,UConn,Houston,UConn
2472513,UConn,Kentucky,UConn
3077841,Arizona,Houston,Houston
2359133,UConn,Houston,UConn
636145,San Diego St.,Houston,San Diego St.
292171,Arizona,Kentucky,Arizona
1551650,Arizona,Purdue,Arizona
1026469,UConn,Kentucky,Kentucky
3147642,UConn,Houston,UConn
1468677,UConn,Houston,Houston
2256167,UConn,Houston,UConn
3088562,UConn,Houston,UConn
1471770,UConn,Kentucky,UConn
2912523,UConn,Houston,UConn
445423,UConn,Purdue,UConn
1046979,UConn,Purdue,UConn
1038918,UConn,Purdue,UConn
896995,UConn,Purdue,UConn
585625,Iowa St.,Tennessee,Iowa St.
250819,Iowa St.,Tennessee,Tennessee
3740978,UConn,Houston,UConn
2287660,UConn,Kentucky,UConn
3223171,UConn,Houston,Houston
475113,UConn,Tennessee,UConn
3609679,UConn,Houston,UConn
3335247,UConn,Purdue,UConn
2577844,Arizona,Houston,Houston
1173250,Iowa St.,Marquette,Iowa St.
2677387,UConn,Houston,UConn
2301213,Auburn,Houston,Houston
1404882,UConn,Houston,UConn
953858,UConn,Kentucky,UConn
162585,UConn,Houston,UConn
3014520,UConn,Duke,UConn
903263,Auburn,Purdue,Purdue
3474077,UConn,Oregon,UConn
1324959,UConn,Tennessee,UConn
3360600,UConn,Houston,UConn
1113861,UConn,Houston,UConn
2930163,UConn,Houston,UConn
1413306,Iowa St.,Houston,Houston
172166,Auburn,Houston,Houston
2905010,Illinois,Houston,Illinois
1171071,UConn,Tennessee,UConn
137564,Northwestern,Oregon,Northwestern
3008203,UConn,Houston,UConn
3041342,UConn,Tennessee,UConn
2550110,UConn,Houston,UConn
1644795,UConn,Houston,UConn
2386960,UConn,Houston,UConn
3155154,UConn,Tennessee,UConn
856467,UConn,Houston,UConn
127858,UConn,Houston,UConn
3553667,UConn,Tennessee,UConn
436242,UConn,Houston,UConn
1039640,UConn,Kentucky,UConn
2591008,Iowa St.,Houston,Houston
2203686,Iowa St.,Purdue,Purdue
2694573,UConn,Houston,UConn
2750550,UConn,Houston,UConn
2885336,Iowa St.,Houston,Iowa St.
125489,Arizona,Tennessee,Arizona
3528158,UConn,Tennessee,UConn
285290,UConn,Houston,UConn
1067677,UConn,Purdue,UConn
3161817,UConn,Houston,UConn
3408568,UConn,Purdue,UConn
323259,Iowa St.,Houston,Houston
1192062,UConn,Purdue,UConn
2919529,UConn,Purdue,UConn
1970683,UConn,Purdue,UConn
2204268,UConn,Purdue,UConn
2131090,UConn,Kentucky,UConn
3365446,Arizona,Purdue,Purdue
2264017,Dayton,Kentucky,Kentucky
2625399,Arizona,Kentucky,Arizona
3647523,UConn,Houston,UConn
1566564,UConn,Kentucky,UConn
3323070,North Carolina,Houston,North Carolina
1235767,FAU,Creighton,Creighton
1854066,UConn,Houston,UConn
2189862,San Diego St.,Texas Tech,San Diego St.
588559,UConn,Marquette,UConn
3327182,UConn,Kentucky,UConn
2908969,UConn,Vermont,UConn
3303032,Auburn,Gonzaga,Auburn
2108537,UConn,Duke,UConn
1536801,UConn,Houston,UConn
2661507,UConn,Tennessee,UConn
2358731,Iowa St.,Kentucky,Kentucky
2893840,North Carolina,Kentucky,North Carolina
399491,UConn,Tennessee,UConn
264224,UConn,Kentucky,UConn
2548422,Iowa St.,Kentucky,Iowa St.
3353993,UConn,Kentucky,UConn
2807298,UConn,Creighton,Creighton
1985674,UConn,Houston,UConn
381991,UConn,Houston,UConn
3516224,Arizona,Houston,Houston
142812,UConn,Houston,UConn
3567051,UConn,Purdue,UConn
319419,UConn,Tennessee,UConn
1054564,Iowa St.,Oregon,Iowa St.
519658,UConn,Purdue,UConn
1229450,UConn,Kentucky,UConn
3499970,UConn,Houston,UConn
1578868,UConn,Houston,UConn
3097598,UConn,Kentucky,Kentucky
448226,UConn,Purdue,UConn
1962077,North Carolina,Duke,North Carolina
3789835,UConn,Kentucky,UConn
581379,Iowa St.,Tennessee,Tennessee
1255574,UConn,Kentucky,UConn
2141630,UConn,Houston,UConn
1175554,UConn,Tennessee,UConn
2616203,Arizona,McNeese,Arizona
3342482,UConn,Houston,UConn
865218,UConn,Purdue,UConn
133941,Illinois,Purdue,Illinois
2699418,UConn,Purdue,UConn
1389963,UConn,Houston,UConn
572988,Iowa St.,Gonzaga,Iowa St.
